sessao,perguntaId,configuracao,escolha,categoria,sondaId,respostaQualitativa,dataHora
8dfe68a8-c4e0-4729-af91-432996510bcc,q01,2,A,explicabilidade,exp_01,Eu já sabia que a Revolução Industrial tinha acontecido na Inglaterra,2026-06-05T16:42:42.748489
8dfe68a8-c4e0-4729-af91-432996510bcc,q02,1,A,confianca,conf_01,"Eu sabia que era um tratado entre Espanha e Portugal, portanto só marquei a opção que falava sobre isso, e a letra A tinha mais coisa escrita",2026-06-05T16:44:49.523663
8dfe68a8-c4e0-4729-af91-432996510bcc,q03,2,A,explicabilidade,exp_02,"Não houve conflito direto entre EUA e China, visto que a guerra fria foi entre EUA e União Soviética. E também não houve conflito direto entre EUA e União Soviética",2026-06-05T16:46:29.370417
8dfe68a8-c4e0-4729-af91-432996510bcc,q04,1,A,confianca,conf_02,Existia Advogado nessa época?,2026-06-05T16:48:46.322834
8dfe68a8-c4e0-4729-af91-432996510bcc,q05,2,A,explicabilidade,exp_03,"Sim, mas eu marquei ela mais porque sabia que ela ocorreu em 1789 e não em 1793, do que a explicação entre letra A e letra B",2026-06-05T16:50:55.082627
8dfe68a8-c4e0-4729-af91-432996510bcc,q06,1,A,confianca,conf_03,Muito texto na A em comparação com a letra B,2026-06-05T16:52:37.588349
